Frankreich - Rumänien,4 - 1
Albanien - Schweiz,0 - 2
Rumänien - Schweiz,1 - 2
Frankreich - Albanien,3 - 1
Schweiz - Frankreich,2 - 2
Rumänien - Albanien,1 - 0

Wales - Slowakei,1 - 2
England - Russland,2 - 0
Russland - Slowakei,1 - 1
England - Wales,2 - 0
Slowakei - England,3 - 0
Russland - Wales,1 - 1

Polen - Nordirland,3 - 0
Deutschland - Ukraine,2 - 0
Ukraine - Nordirland,1 - 0
Deutschland - Polen,2 - 2
Ukraine - Polen,1 - 3
Nordirland - Deutschland,0 - 4

Türkei - Kroatien,0 - 2
Spanien - Tschechien,2 - 0
Tschechien - Kroatien,1 - 3
Spanien - Türkei,3 - 0
Kroatien - Spanien,2 - 1
Tschechien - Türkei,1 - 1

Irland - Schweden,2 - 2
Belgien - Italien,2 - 2
Italien - Schweden,1 - 0
Belgien - Irland,2 - 0
Italien - Irland,1 - 0
Schweden - Belgien,1 - 2

Österreich - Ungarn,2 - 1
Portugal - Island,2 - 2
Island - Ungarn,1 - 0
Portugal - Österreich,2 - 0
Ungarn - Portugal,1 - 3
Island - Österreich,1 - 1
